Category,Price,Product URL,Product Name,ProductCode,Brand,EAN,Description,Stock_status,Delivery Time,Shipping_cost,Product_id,Condition,Bundle,Colour,Gender,Size
Hem & hushåll/Dammsugare/Golvdammsugare,1199,https://hemmy.se/dammsugare/golvdammsugare/Karcher-VC2,Kärcher - VC2 | FRI frakt,11981050,Kärcher,4054278206714,Kärcher - VC2 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,4648,ny,,,,
Hem & hushåll/Köksassistenter,5495,https://hemmy.se/hem-o-hushall/koksassistenter/smeg-smf02pkeu,SMEG - SMF02PKEU | FRI frakt,SMF02PKEU,SMEG,,SMEG - SMF02PKEU | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,8210,ny,,,,
Trädgård/Bevattning/Slangvindor,1999,https://hemmy.se/tradgard/bevattning/Slangvindor/Hozelock-Auto-Reel-40m-slang-koppl-munst,Hozelock - Auto Reel- 40m slang- koppl & munst | FRI frakt,25-2595,Hozelock,5010646053082,Hozelock - Auto Reel- 40m slang- koppl & munst | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,5701,ny,,,,
Grillar & utekök/Kamadogrillar,13990,https://hemmy.se/tradgard/grillar/kamadogrill/kamado-sumo-maxi-25quot-gron,Kamado Sumo - Maxi 25" Grön | FRI hemleverans,Kamado SUMO Maxi 25 Grön,Kamado Sumo,7350097261925,Kamado Sumo - Maxi 25" Grön | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,15003,ny,,,,
Hem & hushåll/Vatten och juice,349,https://hemmy.se/hem-o-hushall/vatten-och-juice/vattenkokare/obh-nordica-nemo-black-10l,OBH Nordica - Nemo Black 1.0L,51026451,OBH Nordica,5708642064514,OBH Nordica - Nemo Black 1.0L,Ja,I lager. Leverans 1-5 dagar.,39,14789,ny,,,,
Hem & hushåll/Smarta hem/Smarta sensorer & reläer/Z-wave,379,https://hemmy.se/smarta_hemmet/sensorer_relaer/sensorer_relaer_z_wave/range-extender-7,Aeotec - Range Extender 7 Z-wave,ZW189,Aeotec,,Aeotec - Range Extender 7 Z-wave,Ja,I lager. Leverans 1-5 dagar.,39,14161,ny,,,,
Trädgård/Trädgårdsmaskiner/Motorsågar,1679,https://hemmy.se/tradgard/tradgardsmaskiner/motorsagar/al-ko-bks-3835,AL-KO - BKS 3835 | FRI frakt,113185,AL-KO,4003718049190,AL-KO - BKS 3835 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,4995,ny,,,,
Kök/Frysar/Frysskåp,9654,https://hemmy.se/kok/frysar/frysskap/siemens-gs36nviep,Siemens - GS36NVIEP | FRI frakt,GS36NVIEP,Siemens,4242003871041,Siemens - GS36NVIEP | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,11285,ny,,,,
Verktyg & maskiner/Sågar/Cirkelsågar,1699,https://hemmy.se/renovering-o-bygg/sagar/cirkelsagar/bosch-professional-cirkelsag-gks-165,Bosch Professional - CIRKELSÅG GKS 165 | FRI frakt,0601676100,Bosch Professional,3165140730983,Bosch Professional - CIRKELSÅG GKS 165 | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,11220,ny,,,,
Grillar & utekök/Tillbehör till grillar,349,https://hemmy.se/grill-tillbehor/Kamado-Joe-Hickory-Chunks,Kamado Joe - Hickory Chunks (10#) (4-5 kg),KJ-WCHUNKSH,Kamado Joe,811738020624,Kamado Joe - Hickory Chunks (10#) (4-5 kg),Ja,I lager. Leverans 1-5 dagar.,39,5245,ny,,,,
Hem & hushåll/Dammsugare/Golvdammsugare,3595,https://hemmy.se/dammsugare/golvdammsugare/miele-complete-c3-power-lotusvit,Miele - Complete C3 PowerLine | FRI frakt,10672230,Miele,4002515832998,Miele - Complete C3 PowerLine | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,9757,ny,,,,
Grillar & utekök/Gasolgrillar,33900,https://hemmy.se/tradgard/grillar/gasolgrill/napoleon-pro500,Napoleon - PRO500 | FRI hemleverans,13318NA,Napoleon,0629162127662,Napoleon - PRO500 | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,9104,ny,,,,
Trädgård/Bevattning/Bevattningssystem,1489,https://hemmy.se/tradgard/bevattning/bevattningssystem/gardena-pipeline-start-set,Gardena - Pipeline Start Set | FRI frakt,08255-20,Gardena,4078500825504,Gardena - Pipeline Start Set | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,7814,ny,,,,
Grillar & utekök/Tillbehör till grillar,499,https://hemmy.se/grill-tillbehor/big-green-egg-ash-tool-s-mx-mn,Big Green Egg - Ash Tool S MX MN,301024,Big Green Egg,665719301024,Big Green Egg - Ash Tool S MX MN,Ja,I lager. Leverans 1-5 dagar.,39,9305,ny,,,,
Verktyg & maskiner/Batterier och laddare,799,https://hemmy.se/renovering-o-bygg/batterier_o_laddare/Blackanddecker-BL1518-XJ,Black and decker - BL1518-XJ,BL1518-XJ,Black and Decker,5035048335055,Black and decker - BL1518-XJ,Ja,I lager. Leverans 1-5 dagar.,39,2843,ny,,,,
Hem & hushåll/Kaffe och espresso,595,https://hemmy.se/hem-o-hushall/kaffe-och-espresso/kaffebryggare/braun-kf5601-cafehouse,Braun - KF560/1 Caféhouse,0X13211049,Braun,8021098320032,Braun - KF560/1 Caféhouse,Ja,I lager. Leverans 1-5 dagar.,39,6115,ny,,,,
Hem & hushåll/Köksapparater,4199,https://hemmy.se/hem-o-hushall/koksapparater/brodrostar/dualite-brodrost-classic-2-skivor-canvas,Dualite - brödrost Classic 2 skivor Canvas | FRI frakt,595009,Dualit,6197432704508,Dualite - brödrost Classic 2 skivor Canvas | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,16087,ny,,,,
Kök/Ugnar/Inbyggnadsugnar,14475,https://hemmy.se/kok/ugnar/inbyggnadsugnar/vb558c0s0-inbyggnadsugnar,Siemens - VB558C0S0 iQ500 | FRI hemleverans,VB558C0S0,Siemens,4242003802328,Siemens - VB558C0S0 iQ500 | FRI hemleverans,Ja,I lager. Leverans 1-5 dagar.,0,4918,ny,,,,
Klimat & värme/Luftfuktare,479,https://hemmy.se/klimat-o-varme/luftfuktare/beurer-lb-12,Beurer - LB 12,B68005,Beurer,4211125680053,Beurer - LB 12,Ja,I lager. Leverans 1-5 dagar.,39,4435,ny,,,,
Hem & hushåll/Kaffe och espresso,3629,https://hemmy.se/hem-o-hushall/kaffe-och-espresso/espressobryggare/delonghi-ecam-21117b-magnifica-s,DeLonghi - ECAM 21.117.B Magnifica S | FRI frakt,0132213085,DeLonghi,8004399326163,DeLonghi - ECAM 21.117.B Magnifica S | FRI frakt,Ja,I lager. Leverans 1-5 dagar.,0,11996,ny,,,,
